# short,type,name,frequency,latitude,longitude
BLM,DVOR/DME,Basel/Mulhouse,117.45,47.632801,7.499500
FRI,VOR/DME,Fribourg,110.85,46.777599,7.223500
GRE,DVOR/DME,Grenchen,115.45,47.183201,7.418180
GVA,DVOR/DME,Geneva,115.75,46.253899,6.132220
KLO,DVOR/DME,Kloten,114.85,47.457100,8.545580
PAS,DVOR/DME,Passeiry,116.6,46.163700,5.999920
SIO,DVOR/DME,Sion,112.15,46.215500,7.288780
SPR,VOR/DME,St-Prex,113.9,46.468700,6.448060
TRA,DVOR/DME,Trasadingen,114.3,47.689499,8.436950
WIL,VOR/DME,Willisau,116.9,47.178299,7.905920
ZUE,DVOR/DME,Zurich East,110.05,47.592201,8.817670
